project,commit_hash,commit_msg,file_changed,sentiment_score,subjectivity_score,bug_fix_commit
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/java/org/apache/commons/math/StoreUnivariateImpl.java,0.014166666666666666,0.3175,False
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/java/org/apache/commons/math/Univariate.java,0.014166666666666666,0.3175,False
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/java/org/apache/commons/math/UnivariateImpl.java,0.014166666666666666,0.3175,False
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/java/org/apache/commons/math/package.html,0.014166666666666666,0.3175,False
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/test/org/apache/commons/math/MathTestSuite.java,0.014166666666666666,0.3175,False
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/test/org/apache/commons/math/StoreUnivariateImplTest.java,0.014166666666666666,0.3175,False
Math,811975e52049a6275d4b9d6587ce3af40791a9ae,The following changes were made to the Univariate implementation.  The public\ninterface of Univariate was extracted in an interface of the same name.\nUnivariate. an interface. is now implemented by UnivariateImpl which contains\nall code originally present in the original Univariate implementation.\n* StoredUnivariate is an interface which extends Univariate and adds\nmeasures not available in the superinterface such as mode. kurtosis. and skew\n* StoredUnivariateImpl provides an implementation which uses the\nExpandableDoubleArray for internal storage.  Calculations are performed\non demand *each* time a particular measure is required no state is\nmaintained by this implementation.\n* Univariate provided methods addValue(int). addValue(float). addValue(long).\nThere functions were removed as no cast is required - all of these\nassignments are widening conversions - no cast required\n* Removed the name property from Univariate - property not relevant to\nunivariate statistics,src/test/org/apache/commons/math/UnivariateImplTest.java,0.014166666666666666,0.3175,False
Math,6c210937da3c04bf1ea55a568c69ca4e1e74904e,Submitted by: Phil S.\nReviewed by: Tim O.,STATUS.html,0.0,0.0,False
Math,b4e6216d2e3de7218a06d9a0c1ac74b49d7259f9,Another change to the stored Univariates.  The calculations are now abstracted\ninto an AbstractStoreUnivariate class which take responsibility for\nall statistical calculations.  AbstractStoreUnivariate is implemented by\ntwo classes:\n* StoreUnivariateImpl - This class uses a ExpandableDoubleArray for\ninternal storage.  This class is a more efficient class in terms\nof storage and cycles for users who are interested in gathering statistics\nnot available in the UnivariateImpl implementation.\n* ListUnivariateImpl - This class is for a situation where a user might\nwish to maintain a List of numeric objects outside of a StoreUnivariate\ninstance.  We still need to add serious error checking in the absence of\n1.5's generics. but this implementation will work with any list that\ncontains Number objects - (BigDecimal. BigInteger. Byte. Double. Float.\nInteger. Long. Short).  This implementation ultimately transforms all\nnumeric objects into double primitives via Number.doubleValue().\nBecuase AbstractStoreUnivariate does not hold on to any state. a user\ncan add values through the Univariate.addValue() function OR one can\ndirectly manipulate the contents of the List directly.,src/java/org/apache/commons/math/AbstractStoreUnivariate.java,0.02529761904761905,0.3297619047619048,False
Math,b4e6216d2e3de7218a06d9a0c1ac74b49d7259f9,Another change to the stored Univariates.  The calculations are now abstracted\ninto an AbstractStoreUnivariate class which take responsibility for\nall statistical calculations.  AbstractStoreUnivariate is implemented by\ntwo classes:\n* StoreUnivariateImpl - This class uses a ExpandableDoubleArray for\ninternal storage.  This class is a more efficient class in terms\nof storage and cycles for users who are interested in gathering statistics\nnot available in the UnivariateImpl implementation.\n* ListUnivariateImpl - This class is for a situation where a user might\nwish to maintain a List of numeric objects outside of a StoreUnivariate\ninstance.  We still need to add serious error checking in the absence of\n1.5's generics. but this implementation will work with any list that\ncontains Number objects - (BigDecimal. BigInteger. Byte. Double. Float.\nInteger. Long. Short).  This implementation ultimately transforms all\nnumeric objects into double primitives via Number.doubleValue().\nBecuase AbstractStoreUnivariate does not hold on to any state. a user\ncan add values through the Univariate.addValue() function OR one can\ndirectly manipulate the contents of the List directly.,src/java/org/apache/commons/math/ExpandableDoubleArray.java,0.02529761904761905,0.3297619047619048,False
Math,b4e6216d2e3de7218a06d9a0c1ac74b49d7259f9,Another change to the stored Univariates.  The calculations are now abstracted\ninto an AbstractStoreUnivariate class which take responsibility for\nall statistical calculations.  AbstractStoreUnivariate is implemented by\ntwo classes:\n* StoreUnivariateImpl - This class uses a ExpandableDoubleArray for\ninternal storage.  This class is a more efficient class in terms\nof storage and cycles for users who are interested in gathering statistics\nnot available in the UnivariateImpl implementation.\n* ListUnivariateImpl - This class is for a situation where a user might\nwish to maintain a List of numeric objects outside of a StoreUnivariate\ninstance.  We still need to add serious error checking in the absence of\n1.5's generics. but this implementation will work with any list that\ncontains Number objects - (BigDecimal. BigInteger. Byte. Double. Float.\nInteger. Long. Short).  This implementation ultimately transforms all\nnumeric objects into double primitives via Number.doubleValue().\nBecuase AbstractStoreUnivariate does not hold on to any state. a user\ncan add values through the Univariate.addValue() function OR one can\ndirectly manipulate the contents of the List directly.,src/java/org/apache/commons/math/ListUnivariateImpl.java,0.02529761904761905,0.3297619047619048,False
Math,b4e6216d2e3de7218a06d9a0c1ac74b49d7259f9,Another change to the stored Univariates.  The calculations are now abstracted\ninto an AbstractStoreUnivariate class which take responsibility for\nall statistical calculations.  AbstractStoreUnivariate is implemented by\ntwo classes:\n* StoreUnivariateImpl - This class uses a ExpandableDoubleArray for\ninternal storage.  This class is a more efficient class in terms\nof storage and cycles for users who are interested in gathering statistics\nnot available in the UnivariateImpl implementation.\n* ListUnivariateImpl - This class is for a situation where a user might\nwish to maintain a List of numeric objects outside of a StoreUnivariate\ninstance.  We still need to add serious error checking in the absence of\n1.5's generics. but this implementation will work with any list that\ncontains Number objects - (BigDecimal. BigInteger. Byte. Double. Float.\nInteger. Long. Short).  This implementation ultimately transforms all\nnumeric objects into double primitives via Number.doubleValue().\nBecuase AbstractStoreUnivariate does not hold on to any state. a user\ncan add values through the Univariate.addValue() function OR one can\ndirectly manipulate the contents of the List directly.,src/java/org/apache/commons/math/StoreUnivariate.java,0.02529761904761905,0.3297619047619048,False
Math,b4e6216d2e3de7218a06d9a0c1ac74b49d7259f9,Another change to the stored Univariates.  The calculations are now abstracted\ninto an AbstractStoreUnivariate class which take responsibility for\nall statistical calculations.  AbstractStoreUnivariate is implemented by\ntwo classes:\n* StoreUnivariateImpl - This class uses a ExpandableDoubleArray for\ninternal storage.  This class is a more efficient class in terms\nof storage and cycles for users who are interested in gathering statistics\nnot available in the UnivariateImpl implementation.\n* ListUnivariateImpl - This class is for a situation where a user might\nwish to maintain a List of numeric objects outside of a StoreUnivariate\ninstance.  We still need to add serious error checking in the absence of\n1.5's generics. but this implementation will work with any list that\ncontains Number objects - (BigDecimal. BigInteger. Byte. Double. Float.\nInteger. Long. Short).  This implementation ultimately transforms all\nnumeric objects into double primitives via Number.doubleValue().\nBecuase AbstractStoreUnivariate does not hold on to any state. a user\ncan add values through the Univariate.addValue() function OR one can\ndirectly manipulate the contents of the List directly.,src/java/org/apache/commons/math/StoreUnivariateImpl.java,0.02529761904761905,0.3297619047619048,False
